year,cumulative,revenue,rev_infl,title,lead_actor,director_name
2010,1.142551557,300228084,343026064.8,Resident Evil: Afterlife,Milla Jovovich,Paul W.S. Anderson
1978,4.044321463,300218018,1214178174,Superman,Marlon Brando,Richard Donner
1999,1.503724247,300135367,451320828.8,Stuart Little,Chazz Palminteri,Rob Minkoff
1987,2.236322512,299965036,670818562.8,Beverly Hills Cop II,Dean Stockwell,Tony Scott
2016,1.034185663,299370084,309604248.9,Alice Through the Looking Glass,Johnny Depp,James Bobin
1997,1.562764318,299288605,467717552.8,My Best Friend's Wedding,Julia Roberts,P.J. Hogan
2011,1.124115573,299268508,336412390.4,Real Steel,Hugh Jackman,Shawn Levy
2002,1.384334996,296655431,410670495,Austin Powers in Goldmember,Verne Troyer,Jay Roach
2000,1.47152684,296339527,436071567.7,X-Men,Hugh Jackman,Bryan Singer
2015,1.035412488,295238201,305693320.3,Insurgent,Kate Winslet,Robert Schwentke
2016,1.034185663,295212467,305304501,Ghostbusters,Ed Begley Jr.,Paul Feig
2010,1.142551557,294804195,336828991.9,Shutter Island,Leonardo DiCaprio,Martin Scorsese
1998,1.527066244,294456605,449654741.9,Doctor Dolittle,Oliver Platt,Betty Thomas
2010,1.142551557,293329073,335143589,Salt,Angelina Jolie Pitt,Phillip Noyce
2009,1.138489257,292817841,333369966.3,G-Force,Kelli Garner,Hoyt Yeatman
2006,1.255146149,289847354,363800790.2,The Departed,Leonardo DiCaprio,Martin Scorsese
1998,1.527066244,289317794,441807437.1,Shakespeare in Love,Tom Wilkinson,John Madden
2007,1.21592121,289047763,351459305.8,Fantastic 4: Rise of the Silver Surfer,Chris Evans,Tim Story
2014,1.052209187,288747895,303823187.9,Divergent,Kate Winslet,Neil Burger
2004,1.332473386,288500217,384418861.1,The Bourne Supremacy,Matt Damon,Paul Greengrass
2011,1.124115573,288383523,324176409.2,Bridesmaids,Matt Lucas,Paul Feig
2010,1.142551557,288347692,329452104.4,Sex and the City 2,Chris Noth,Michael Patrick King
1995,1.653699331,287928194,476146661.8,Casper,Eric Idle,Brad Silberling
2007,1.21592121,287594577,349692346.2,Bee Movie,Matthew Broderick,Steve Hickner
2001,1.423458672,287553595,409320658.5,American Pie 2,Alyson Hannigan,J.B. Rogers
2015,1.035412488,287506194,297687503.7,Pitch Perfect 2,Anna Kendrick,Elizabeth Banks
1965,7.902834497,286214286,2261904133,The Sound of Music,Eleanor Parker,Robert Wise
2013,1.067622291,286168572,305519946.5,Oblivion,Morgan Freeman,Joseph Kosinski
2013,1.067622291,286140700,305490189.7,Elysium,Matt Damon,Neill Blomkamp
1998,1.527066244,285444603,435892817.9,Lethal Weapon 4,Jet Li,Richard Donner
1999,1.503724247,284600000,427959920.8,The Green Mile,Tom Hanks,Frank Darabont
2012,1.089714997,284139100,309630638.5,John Carter,Daryl Sabara,Andrew Stanton
2013,1.067622291,282570682,301678758.9,Turbo,Ryan Reynolds,David Soren
2001,1.423458672,281929795,401315411.6,Bridget Jones's Diary,Colin Firth,Sharon Maguire
1992,1.799813376,280000000,503947745.2,Batman Returns,Michael Gough,Tim Burton
2010,1.142551557,278731369,318464959.6,The Tourist,Johnny Depp,Florian Henckel von Donnersmarck
2002,1.384334996,277448382,384081504.9,xXx,Vin Diesel,Rob Cohen
2012,1.089714997,276572938,301385678.3,The Bourne Legacy,Jeremy Renner,Tony Gilroy
2002,1.384334996,275650703,381592914.9,Scooby-Doo,Sarah Michelle Gellar,Raja Gosnell
2012,1.089714997,275293450,299991401,Lincoln,Joseph Gordon-Levitt,Steven Spielberg
2001,1.423458672,274925095,391344510.7,Spirited Away,Bunta Sugawara,Hayao Miyazaki
2001,1.423458672,274703340,391028851.6,Lara Croft: Tomb Raider,Angelina Jolie Pitt,Simon West
2010,1.142551557,274470394,313596576,The Expendables,Jason Statham,Sylvester Stallone
1996,1.608572132,273552592,440029076,Jerry Maguire,Tom Cruise,Cameron Crowe
